Date,Open,High,Low,Close,Resultado%,Mes,Ano,No.Mes
2021-08-31,"41460,84","50482,08","37458,00","47166,69","13,31",8,2021,08
2021-09-30,"47099,77","52853,77","39787,61","43790,89","-7,16",9,2021,09
2021-10-31,"43816,74","66930,39","43320,02","61318,96","40,03",10,2021,10
2021-11-30,"61320,45","68789,62","53569,77","57005,43","-7,03",11,2021,11
2021-12-31,"56907,96","59041,68","42874,62","46306,45","-18,77",12,2021,12
2022-01-31,"46311,75","47881,41","33184,06","38483,12","-16,89",1,2022,01
2022-02-28,"38481,77","45661,17","34459,22","43193,23","12,24",2,2022,02
2022-03-31,"43194,50","48086,84","37260,20","45538,68","5,43",3,2022,03
2022-04-30,"45554,16","47313,48","37697,94","37714,88","-17,18",4,2022,04
2022-05-31,"37713,27","39902,95","26350,49","31792,31","-15,70",5,2022,05
2022-06-30,"31792,55","31957,29","17708,62","19784,73","-37,77",6,2022,06
2022-07-31,"19820,47","24572,58","18966,95","23336,90","17,95",7,2022,07
2022-08-31,"23336,72","25135,59","19600,79","20049,76","-14,09",8,2022,08
2022-09-30,"20050,50","22673,82","18290,31","19431,79","-3,08",9,2022,09
2022-10-31,"19431,11","20988,39","18319,82","20495,77","5,48",10,2022,10
2022-11-30,"20494,90","21446,89","15599,05","17168,57","-16,23",11,2022,11
2022-12-31,"17168,00","18318,53","16398,14","16547,50","-3,62",12,2022,12
2023-01-31,"16547,91","23919,89","16521,23","23139,28","39,84",1,2023,01
2023-02-28,"23137,84","25134,12","21460,09","23147,35","0,03",2,2023,02
2023-03-31,"23150,93","29159,90","19628,25","28478,48","23,03",3,2023,03
2023-04-30,"28473,33","31005,61","27070,85","29268,81","2,78",4,2023,04
2023-05-31,"29227,10","29820,13","25878,43","27219,66","-7,00",5,2023,05
2023-06-30,"27218,41","31389,54","24797,17","30477,25","11,97",6,2023,06
2023-07-31,"30471,85","31814,52","28934,29","29230,11","-4,09",7,2023,07
2023-08-31,"29230,87","30176,80","25409,11","25931,47","-11,29",8,2023,08
2023-09-30,"25934,02","27488,76","24930,30","26967,92","4,00",9,2023,09
2023-10-31,"26967,40","35150,43","26558,32","34667,78","28,55",10,2023,10
2023-11-30,"34657,27","38415,34","34133,44","37712,75","8,78",11,2023,11
2023-12-31,"37718,01","44705,52","37629,36","42265,19","12,07",12,2023,12
2024-01-31,"42280,23","48969,37","38521,89","42582,61","0,75",1,2024,01
2024-02-29,"42569,76","63913,13","41879,19","61198,38","43,72",2,2024,02
2024-03-31,"61168,06","73750,07","59323,91","71333,65","16,56",3,2024,03
2024-04-30,"71333,48","72715,36","59120,07","60636,86","-15,00",4,2024,04
2024-05-31,"60609,50","71946,46","56555,29","67491,41","11,30",5,2024,05
2024-06-30,"67489,61","71907,85","58601,70","62678,29","-7,13",6,2024,06
2024-07-31,"62673,61","69987,54","53717,38","64619,25","3,10",7,2024,07
2024-08-31,"64625,84","65593,24","49121,24","58969,90","-8,74",8,2024,08
2024-09-30,"58969,80","66480,70","52598,70","63329,50","7,39",9,2024,09
2024-10-31,"63335,61","73577,21","58895,21","70215,19","10,87",10,2024,10
2024-11-30,"70216,90","99655,50","66803,65","96449,05","37,36",11,2024,11
2024-12-31,"96461,34","108268,45","91317,13","93429,20","-3,13",12,2024,12
2025-01-31,"93425,10","109114,88","89260,10","102405,02","9,61",1,2025,01
2025-02-28,"102402,80","102755,73","78248,91","84373,01","-17,61",2,2025,02
2025-03-31,"84373,87","95043,44","76624,25","82548,91","-2,16",3,2025,03
2025-04-30,"82551,92","95768,39","74436,68","94207,31","14,12",4,2025,04
2025-05-31,"94212,86","111970,17","93399,86","104638,09","11,07",5,2025,05
